ID	Name	Date	Time	Event	Status	Latitude	Longitude	Maximum Wind	Minimum Pressure	Low Wind NE	Low Wind SE	Low Wind SW	Low Wind NW	Moderate Wind NE	Moderate Wind SE	Moderate Wind SW	Moderate Wind NW	High Wind NE	High Wind SE	High Wind SW	High Wind NW
AL162011	            OPHELIA	20110929	1800	  	 HU	21.0N	61.9W	65	987	120	90	60	75	50	30	0	30	25	0	0	0
AL162011	            OPHELIA	20110930	0	  	 HU	21.6N	62.3W	70	982	150	120	60	90	50	40	30	40	25	20	0	20
AL162011	            OPHELIA	20110930	600	  	 HU	22.4N	62.7W	85	971	150	150	60	90	60	50	40	40	25	25	20	20
AL162011	            OPHELIA	20110930	1200	  	 HU	23.4N	63.0W	95	966	150	150	60	90	60	50	40	40	25	25	20	20
AL162011	            OPHELIA	20110930	1800	  	 HU	24.6N	63.3W	100	959	150	150	60	90	60	50	40	40	25	25	20	20
AL162011	            OPHELIA	20111001	0	  	 HU	25.9N	63.3W	105	955	180	180	60	90	60	60	40	40	30	30	20	20
AL162011	            OPHELIA	20111001	600	  	 HU	27.3N	63.2W	105	951	180	180	80	90	60	60	40	40	30	30	20	20
AL162011	            OPHELIA	20111001	1200	  	 HU	28.9N	63.1W	105	948	180	180	80	90	60	60	40	40	30	30	20	20
AL162011	            OPHELIA	20111001	1800	  	 HU	30.7N	62.9W	110	946	180	180	80	90	60	60	40	40	30	30	20	20
AL162011	            OPHELIA	20111002	0	  	 HU	32.8N	62.5W	120	940	180	180	80	90	60	60	40	40	30	30	20	20
AL162011	            OPHELIA	20111002	600	  	 HU	35.0N	62.1W	110	945	180	180	80	90	60	60	40	40	30	30	20	20
AL162011	            OPHELIA	20111002	1200	  	 HU	37.4N	61.6W	105	951	180	180	80	90	60	60	40	40	30	30	20	20
AL162011	            OPHELIA	20111002	1800	  	 HU	40.1N	60.8W	90	960	180	200	80	90	70	80	40	40	40	40	20	20
AL162011	            OPHELIA	20111003	0	  	 HU	42.8N	59.6W	70	972	180	200	100	90	70	80	30	30	40	40	0	20
																					
																					
																					
AL032012	              CHRIS	20120619	1800	  	 TS	39.5N	58.0W	40	1003	60	60	40	40	30	0	0	0	0	0	0	0
AL032012	              CHRIS	20120620	0	  	 TS	38.9N	56.7W	40	1003	60	70	40	40	30	0	0	0	0	0	0	0
AL032012	              CHRIS	20120620	600	  	 TS	38.3N	54.7W	40	1002	60	70	50	40	30	0	0	0	0	0	0	0
AL032012	              CHRIS	20120620	1200	  	 TS	38.1N	52.5W	45	1001	60	80	60	40	30	0	0	0	0	0	0	0
AL032012	              CHRIS	20120620	1800	  	 TS	38.2N	50.2W	50	999	60	80	60	40	30	30	0	0	0	0	0	0
AL032012	              CHRIS	20120621	0	  	 TS	38.6N	47.5W	60	991	60	80	60	40	30	30	0	0	0	0	0	0
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
